epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,145.014,1.38731,1.74008,1.24549,0.78419,0.69829,0.7814,0.48247,1.20437,1.15282,1.05777,0.00333023,0.00333023,0.00333023
2,279.984,1.37347,1.34739,1.20897,0.71255,0.6178,0.69956,0.41304,1.35288,1.26047,1.13586,0.00653162,0.00653162,0.00653162
3,414.222,1.46678,1.37592,1.26684,0.68137,0.63313,0.68191,0.37279,1.52058,1.33284,1.24512,0.00960102,0.00960102,0.00960102
4,547.471,1.49351,1.37073,1.29845,0.75718,0.64726,0.73355,0.4317,1.38305,1.20256,1.21093,0.009406,0.009406,0.009406
5,680.992,1.42903,1.27386,1.2702,0.7377,0.64032,0.7288,0.42519,1.38349,1.16435,1.20458,0.009208,0.009208,0.009208
6,814.549,1.38938,1.21145,1.25636,0.78232,0.69014,0.77913,0.47612,1.31334,1.05224,1.15912,0.00901,0.00901,0.00901
7,948.935,1.35625,1.15175,1.22794,0.82192,0.70871,0.81036,0.50242,1.28017,0.9792,1.14879,0.008812,0.008812,0.008812
8,1082.47,1.3287,1.11962,1.2142,0.80727,0.72356,0.81984,0.51235,1.25896,0.94041,1.13325,0.008614,0.008614,0.008614
9,1216.52,1.30596,1.08292,1.20303,0.8163,0.72648,0.82478,0.52315,1.23157,0.9328,1.12463,0.008416,0.008416,0.008416
10,1349.5,1.279,1.05114,1.18557,0.82764,0.70511,0.81243,0.51258,1.25506,0.9304,1.12891,0.008218,0.008218,0.008218
11,1482.75,1.26909,1.03186,1.18007,0.83141,0.7347,0.83528,0.54296,1.20056,0.88487,1.10022,0.00802,0.00802,0.00802
12,1616.16,1.25269,1.01116,1.17653,0.83089,0.73111,0.8388,0.54014,1.20177,0.88345,1.10034,0.007822,0.007822,0.007822
13,1749.76,1.23928,0.99062,1.16721,0.83987,0.74129,0.84235,0.54586,1.18279,0.85105,1.08571,0.007624,0.007624,0.007624
14,1883.23,1.23728,0.9797,1.16111,0.85472,0.75259,0.85616,0.5603,1.17118,0.81671,1.0763,0.007426,0.007426,0.007426
15,2016.55,1.21509,0.95861,1.15101,0.8493,0.76213,0.85801,0.56752,1.14073,0.80593,1.06024,0.007228,0.007228,0.007228
16,2150.69,1.20716,0.95004,1.14887,0.8497,0.7662,0.86175,0.57083,1.15157,0.79341,1.06881,0.00703,0.00703,0.00703
17,2285.63,1.19893,0.93325,1.14579,0.86147,0.77462,0.87148,0.57916,1.13661,0.77005,1.06098,0.006832,0.006832,0.006832
18,2420.11,1.18436,0.91897,1.13388,0.85322,0.7789,0.87193,0.58008,1.12031,0.76388,1.04316,0.006634,0.006634,0.006634
19,2553.98,1.17205,0.9052,1.12952,0.86038,0.7753,0.87122,0.58513,1.11766,0.75222,1.04885,0.006436,0.006436,0.006436
20,2688.45,1.17395,0.89582,1.12787,0.86008,0.78045,0.87487,0.59469,1.09573,0.74098,1.03514,0.006238,0.006238,0.006238
21,2822.2,1.164,0.89297,1.12426,0.86459,0.77902,0.87624,0.59567,1.0938,0.74017,1.0395,0.00604,0.00604,0.00604
22,2956.03,1.15328,0.87449,1.1153,0.86703,0.78021,0.87744,0.59427,1.09254,0.72565,1.03292,0.005842,0.005842,0.005842
23,3089.79,1.1476,0.86972,1.11267,0.86372,0.78776,0.88097,0.60142,1.08074,0.71807,1.02431,0.005644,0.005644,0.005644
24,3222.93,1.13548,0.85431,1.10723,0.85559,0.79483,0.88214,0.60218,1.08401,0.70815,1.02854,0.005446,0.005446,0.005446
25,3355.94,1.12675,0.84097,1.10305,0.87131,0.78608,0.88546,0.60596,1.0717,0.70272,1.02246,0.005248,0.005248,0.005248
26,3488.71,1.12033,0.8402,1.09993,0.86788,0.79387,0.88626,0.60829,1.07135,0.69773,1.0216,0.00505,0.00505,0.00505
27,3620.92,1.12376,0.83598,1.10244,0.87182,0.79459,0.88721,0.61336,1.06091,0.68861,1.01705,0.004852,0.004852,0.004852
28,3752.05,1.11292,0.82093,1.09433,0.86787,0.79535,0.8859,0.6113,1.06348,0.68685,1.01563,0.004654,0.004654,0.004654
29,3884.01,1.10452,0.81838,1.09171,0.8663,0.79704,0.88766,0.61023,1.0649,0.68826,1.01294,0.004456,0.004456,0.004456
30,4016.28,1.09101,0.80079,1.08668,0.86437,0.8114,0.89363,0.61958,1.05237,0.66972,1.00925,0.004258,0.004258,0.004258
31,4149.51,1.09005,0.80109,1.08496,0.86485,0.8086,0.89234,0.62041,1.04735,0.66731,1.01023,0.00406,0.00406,0.00406
32,4284.79,1.08974,0.79096,1.08542,0.86653,0.8048,0.89014,0.61824,1.04765,0.66809,1.00987,0.003862,0.003862,0.003862
33,4419.3,1.07612,0.78088,1.07978,0.86741,0.80764,0.89229,0.62284,1.03795,0.65966,1.00611,0.003664,0.003664,0.003664
34,4553.48,1.07208,0.76987,1.07478,0.87649,0.8049,0.8939,0.62376,1.03754,0.65549,1.00168,0.003466,0.003466,0.003466
35,4686.4,1.06339,0.76552,1.07106,0.87685,0.80728,0.89624,0.62661,1.03377,0.65048,1.0006,0.003268,0.003268,0.003268
36,4819.44,1.05427,0.7573,1.07004,0.88258,0.80306,0.89665,0.62654,1.03555,0.64807,1.00277,0.00307,0.00307,0.00307
37,4952.63,1.05747,0.75502,1.06923,0.87664,0.8104,0.89761,0.62696,1.03231,0.64741,0.99913,0.002872,0.002872,0.002872
38,5087.25,1.04519,0.74278,1.0627,0.87851,0.80788,0.8989,0.62729,1.03252,0.64514,1.00016,0.002674,0.002674,0.002674
39,5221.88,1.04312,0.736,1.06268,0.87522,0.81326,0.9003,0.62913,1.02991,0.64251,0.99796,0.002476,0.002476,0.002476
40,5355.82,1.03255,0.72528,1.05821,0.87915,0.81399,0.9016,0.63162,1.02403,0.63763,0.99485,0.002278,0.002278,0.002278
41,5488.41,0.97569,0.60896,1.01494,0.87898,0.81591,0.90094,0.63142,1.02326,0.63569,0.99626,0.00208,0.00208,0.00208
42,5621.27,0.96059,0.59486,1.00668,0.88314,0.81375,0.90048,0.63081,1.02424,0.63642,0.99627,0.001882,0.001882,0.001882
43,5752.9,0.95332,0.58164,1.00334,0.88728,0.80501,0.90042,0.63112,1.02505,0.63501,0.99541,0.001684,0.001684,0.001684
44,5884.37,0.94011,0.57015,0.99479,0.8798,0.80932,0.9002,0.63161,1.02405,0.6328,0.99536,0.001486,0.001486,0.001486
45,6015.63,0.93798,0.56315,0.99521,0.88149,0.80872,0.90071,0.63187,1.02412,0.63151,0.99501,0.001288,0.001288,0.001288
46,6146.02,0.92558,0.55462,0.98975,0.88555,0.80956,0.90214,0.63225,1.0238,0.62935,0.99472,0.00109,0.00109,0.00109
47,6277.88,0.91672,0.54227,0.98969,0.88543,0.80899,0.90122,0.6327,1.02179,0.62724,0.99423,0.000892,0.000892,0.000892
48,6408.42,0.90696,0.53374,0.9845,0.88566,0.80704,0.90124,0.63268,1.02136,0.62544,0.9939,0.000694,0.000694,0.000694
49,6540.78,0.90358,0.52883,0.98103,0.8862,0.80774,0.90068,0.63122,1.02168,0.62552,0.99363,0.000496,0.000496,0.000496
50,6671.57,0.89333,0.52054,0.97639,0.87105,0.82041,0.90133,0.6313,1.02164,0.62517,0.99343,0.000298,0.000298,0.000298
